






min: 2080054861751494180,max: 2080239329192231275
min: 2080239329192231276,max: 2080423796632968371
min: 2080423796632968372,max: 2080608264073705467
min: 2080608264073705468,max: 2080792731514442559
min: 570004391877629596,max: 570188859318366691
min: 570188859318366692,max: 570373326759103787
min: 570373326759103788,max: 570557794199840883
min: 570557794199840884,max: 570742261640577979
min: 570742261640577980,max: 570926729081315075
min: 570926729081315076,max: 571111196522052171
min: 571111196522052172,max: 571295663962789267
min: 571295663962789268,max: 571480131403526363
min: 571480131403526364,max: 571664598844263459
min: 571664598844263460,max: 571849066285000551
min: -4600617971983160072,max: -4600433504542422977
min: -4600433504542422976,max: -4600249037101685881
min: -4600249037101685880,max: -4600064569660948785
min: -4600064569660948784,max: -4599880102220211689
min: -4599880102220211688,max: -4599695634779474593
min: -4599695634779474592,max: -4599511167338737497
min: -4599511167338737496,max: -4599326699898000401
min: -4599326699898000400,max: -4599142232457263305
min: -4599142232457263304,max: -4598957765016526209
min: -4598957765016526208,max: -4598773297575789117
min: -8963272945415471012,max: -8963088477974733917
min: -8963088477974733916,max: -8962904010533996821
min: -8962904010533996820,max: -8962719543093259725
min: -8962719543093259724,max: -8962535075652522629
min: -8962535075652522628,max: -8962350608211785533
min: -8962350608211785532,max: -8962166140771048437
min: -8962166140771048436,max: -8961981673330311341
min: -8961981673330311340,max: -8961797205889574245
min: -8961797205889574244,max: -8961612738448837149
min: -8961612738448837148,max: -8961428271008100057
min: 1984869662331152848,max: 1985054129771889943
min: 1985054129771889944,max: 1985238597212627039
min: 1985238597212627040,max: 1985423064653364135
min: 1985423064653364136,max: 1985607532094101231
min: 1985607532094101232,max: 1985791999534838327
min: 1985791999534838328,max: 1985976466975575423
min: 1985976466975575424,max: 1986160934416312519
min: 1986160934416312520,max: 1986345401857049615
min: 1986345401857049616,max: 1986529869297786711
min: 1986529869297786712,max: 1986714336738523803
min: -7897051137955058444,max: -7896866670514321349
min: -7896866670514321348,max: -7896682203073584253
min: -7896682203073584252,max: -7896497735632847157
min: -7896497735632847156,max: -7896313268192110061
min: -7896313268192110060,max: -7896128800751372965
min: -7896128800751372964,max: -7895944333310635869
min: -7895944333310635868,max: -7895759865869898773
min: -7895759865869898772,max: -7895575398429161677
min: -7895575398429161676,max: -7895390930988424581
min: -7895390930988424580,max: -7895206463547687489
min: 3123033771679032700,max: 3123218239119769795
min: 3123218239119769796,max: 3123402706560506891
min: 3123402706560506892,max: 3123587174001243987
min: 3123587174001243988,max: 3123771641441981083
min: 3123771641441981084,max: 3123956108882718179
min: 3123956108882718180,max: 3124140576323455275
min: 3124140576323455276,max: 3124325043764192371
min: 3124325043764192372,max: 3124509511204929467
min: 3124509511204929468,max: 3124693978645666563
min: 3124693978645666564,max: 3124878446086403655
min: 6000725847177724060,max: 6000910314618461155
min: 6000910314618461156,max: 6001094782059198251
min: 6001094782059198252,max: 6001279249499935347
min: 6001279249499935348,max: 6001463716940672443
min: 6001463716940672444,max: 6001648184381409539
min: 6001648184381409540,max: 6001832651822146635
min: 6001832651822146636,max: 6002017119262883731
min: 6002017119262883732,max: 6002201586703620827
min: 6002201586703620828,max: 6002386054144357923
min: 6002386054144357924,max: 6002570521585095015
min: 6843742051346250952,max: 6843926518786988047
min: 6843926518786988048,max: 6844110986227725143
min: 6844110986227725144,max: 6844295453668462239
min: 6844295453668462240,max: 6844479921109199335
min: 6844479921109199336,max: 6844664388549936431
min: 6844664388549936432,max: 6844848855990673527
min: 6844848855990673528,max: 6845033323431410623
min: 6845033323431410624,max: 6845217790872147719
min: 6845217790872147720,max: 6845402258312884815
min: 6845402258312884816,max: 6845586725753621907
min: -4078575114697179524,max: -4078390647256442429
min: -4078390647256442428,max: -4078206179815705333
min: -4078206179815705332,max: -4078021712374968237
min: -4078021712374968236,max: -4077837244934231141
min: -4077837244934231140,max: -4077652777493494045
min: -4077652777493494044,max: -4077468310052756949
min: -4077468310052756948,max: -4077283842612019853
min: -4077283842612019852,max: -4077099375171282757
min: -4077099375171282756,max: -4076914907730545661
min: -4076914907730545660,max: -4076730440289808569
min: 6810537912013573744,max: 6810722379454310839
min: 6810722379454310840,max: 6810906846895047935
min: 6810906846895047936,max: 6811091314335785031
min: 6811091314335785032,max: 6811275781776522127
min: 6811275781776522128,max: 6811460249217259223
min: 6811460249217259224,max: 6811644716657996319
min: 6811644716657996320,max: 6811829184098733415
min: 6811829184098733416,max: 6812013651539470511
min: 6812013651539470512,max: 6812198118980207607
min: 6812198118980207608,max: 6812382586420944699
min: -2086326754736547044,max: -2086142287295809949
min: -2086142287295809948,max: -2085957819855072853
min: -2085957819855072852,max: -2085773352414335757
